,segment,count
2857,，,1486
2116,的,1185
88,。,484
2, ,412
2854,！,408
1289,很,382
636,励志,359
339,了,325
2086,电影,271
1449,我,219
2140,看,196
1694,是,193
1032,好,172
1735,有,171
1052,好看,152
273,不错,139
2695,都,134
333,也,127
364,人,123
203,不,101
2384,自己,97
80,…,91
633,努力,88
1544,挺,86
1662,日本,83
1412,感动,82
2472,让,81
2598,还,80
2337,老师,76
115,一个,76
796,和,75
444,你,72
2772,非常,72
177,一部,71
613,剧情,70
681,去,67
1891,没有,67
771,吧,66
2187,真的,65
880,在,64
837,喜欢,62
728,可以,61
1160,就,61
1393,想,54
2600,还是,52
815,哭,51
2024,片,51
2373,能量,48
2370,能,47
415,会,47
2818,高考,45
430,但是,45
2767,青春,45
1409,感人,44
1596,故事,43
2462,觉得,43
1163,就是,42
2500,说,42
1090,学生,42
1837,正,41
825,啊,41
1093,孩子,41
2625,这部,40
2026,片子,39
2150,看到,39
428,但,38
1422,感觉,37
1604,教育,37
1083,学习,37
2421,虽然,37
1451,我们,36
467,值得,36
2303,给,35
468,值得一看,35
1680,时候,34
295,中,34
2821,鸡汤,34
2547,超级,32
1100,完,32
1298,很多,32
87,、,31
191,上,31
2616,这样,31
2605,这,31
1868,比较,31
928,多,31
2837,���,31
2452,要,30
1065,妈妈,30
2165,看看,30
1307,很棒,30
1283,影片,30
2590,过,29
972,太,29
376,人生,28
0,"
",28
242,不是,27
1061,如果,27
595,到,26
1010,女主,26
1565,推荐,26
1133,对,25
2647,适合,25
2680,那么,25
2445,被,25
2606,这个,24
785,呢,24
2034,特别,24
1401,想起,24
168,一般,23
687,又,23
207,不会,23
1821,梦想,22
1002,奋斗,22
2194,着,22
1713,更,22
269,不过,22
859,因为,22
2862,？,21
2679,那个,21
404,们,21
1883,没,21
307,为,21
529,再,20
734,可能,20
2177,真实,20
1959,满满的,20
380,什么,20
2703,里,20
1756,有点,19
2170,看过,19
276,与,19
151,一次,19
150,一样,19
1721,最,19
950,大学,19
1019,女主角,19
1030,她,18
2354,而,18
1865,比,18
297,中国,18
1198,希望,18
2054,现在,18
1724,最后,17
2805,高中,17
2075,生活,17
1316,得,17
1505,把,17
2586,辣妹,17
2423,蛮,17
2866,～,16
267,不要,16
2206,知道,16
1993,热血,16
1403,意义,16
1423,感触,16
1480,才,16
471,做,16
173,一起,16
1521,拍,16
2297,经历,15
1860,每个,15
620,力量,15
2607,这么,15
1440,成功,15
810,哦,15
309,为了,15
1785,来,14
1357,怎么,14
1235,应该,14
521,其实,14
1880,沙耶加,14
1144,小,14
1239,开始,14
1854,母亲,14
1390,情节,14
2135,相信,14
1761,朋友,13
2664,遇到,13
1739,有人,13
2601,还有,13
668,却,13
90,》,13
89,《,13
627,加油,13
725,只要,13
113,一,13
161,一直,13
899,坚持,13
386,从,13
1226,并,12
490,充满,12
906,垫底,12
2621,这种,12
2769,青春片,12
733,可爱,12
391,他,12
2709,重要,12
1593,放弃,12
329,之后,12
2243,笑,12
1975,激励,12
11,.,12
2179,真心,12
756,后悔,12
1906,泪点,11
2182,真是,11
2166,看着,11
2509,读书,11
2172,真,11
2681,那些,11
392,他们,11
136,一定,11
2543,超,11
2830,鼓励,11
2341,考上,11
2248,第一次,11
722,只是,11
1545,挺不错,11
2704,里面,11
2012,爱情,11
2335,老套,10
2055,现实,10
2302,结果,10
2788,题材,10
1128,家长,10
156,一点,10
2018,父母,10
1879,永远,10
5,(,10
266,不行,10
843,嗯,10
1982,点,10
838,喝,10
1089,学渣,10
1102,完全,10
260,不能,10
3,!,10
1414,感同身受,10
1215,平淡,10
2355,而且,10
886,地,10
292,个,10
281,世界,10
2651,逆袭,10
719,只,10
653,十分,10
371,人心,10
226,不好,10
1956,满分,10
1582,支持,10
341,事,10
1679,时代,10
723,只有,10
1782,村花,10
1395,想到,9
2260,简单,9
283,东西,9
363,亲情,9
2231,积极向上,9
1948,温暖,9
2803,高,9
2486,评分,9
6,),9
572,分,9
